event_id,title
74,gökhan saki vs. khalil rountree jr.
74,anthony pettis vs. michael chiesa
74,mike perry vs. paul felder
74,derrick lewis vs. francis ngannou
74,daniel cormier vs. stipe miocic
75,cat zingano vs. marion reneau
75,chad mendes vs. myles jury
75,niko price vs. randy brown
75,dennis bermudez vs. rick glenn
75,sage northcutt vs. zak ottow
75,blagoy ivanov vs. junior dos santos
76,marc diakiese vs. nasrat haqparast
76,danny roberts vs. david zawada
76,marcin tybura vs. stefan struve
76,abu azaitar vs. vitor miranda
76,corey anderson vs. glover teixeira
76,anthony smith vs. mauricio rua
78,kevin holland vs. thiago santos
78,jj aldrich vs. polyana viana
78,cub swanson vs. renato moicano
78,demetrious johnson vs. henry cejudo
78,cody garbrandt vs. t.j. dillashaw 2
79,eryk anders vs. tim williams
79,deiveson figueiredo vs. john moraga
79,bryan barberena vs. jake ellenberger
79,angela hill vs. cortney casey
79,andre fili vs. michael johnson
79,james vick vs. justin gaethje
80,abdul razak alhassan vs. niko price
80,jimmie rivera vs. john dodson
80,brandon davis vs. zabit magomedsharipov
80,jéssica andrade vs. karolina kowalkiewicz
80,darren till vs. tyron woodley
81,alexei kunchenko vs. thiago alves
81,andrei arlovski vs. shamil abdurakhimov
81,jan błachowicz vs. nikita krylov
81,aleksei oleinik vs. mark hunt
82,marina rodriguez vs. randa markos
82,andre ewell vs. renan barão
82,antônio rogério nogueira vs. sam alvey
82,alex oliveira vs. carlo pedersoli jr.
82,eryk anders vs. thiago santos
84,alex garcia vs. court mcgee
84,ed herman vs. gian villante
84,andre soukamthath vs. jonathan martinez
84,misha cirkunov vs. patrick cummins
84,artem lobov vs. michael johnson
84,anthony smith vs. volkan oezdemir
85,derek brunson vs. israel adesanya
85,jack marshman vs. karl roberson
85,david branch vs. jared cannonier
85,chris weidman vs. ronaldo souza
85,daniel cormier vs. derrick lewis
86,luis pena vs. mike trizano
86,hannah cifers vs. maycee barber
86,beneil dariush vs. thiago moises
86,germaine de randamie vs. raquel pennington
86,donald cerrone vs. mike perry
86,chan sung jung vs. yair rodriguez
87,cynthia calvillo vs. pollana botelho
87,guido cannetti vs. marlon vera
87,cezar ferreira vs. ian heinisch
87,johnny walker vs. khalil rountree jr.
87,darren elkins vs. ricardo lamas
87,neil magny vs. santiago ponzinibbio
88,david zawada vs. li jingliang
88,song yadong vs. vince morales
88,alistair overeem vs. sergei pavlovich
88,curtis blaydes vs. francis ngannou
89,jim crute vs. paul craig
89,sodiq yusuff vs. suman mokhtarian
89,anthony rocco martin vs. jake matthews
89,justin willis vs. mark hunt
89,mauricio rua vs. tyson pedro
89,junior dos santos vs. tai tuivasa
90,jimi manuwa vs. thiago santos
90,hakeem dawodu vs. kyle bochniak
90,alex oliveira vs. gunnar nelson
90,joanna jędrzejczyk vs. valentina shevchenko
90,brian ortega vs. max holloway
91,charles oliveira vs. jim miller
91,rob font vs. sergio pettis
91,dan hooker vs. edson barboza
91,al iaquinta vs. kevin lee
93,glover teixeira vs. karl roberson
93,paige vanzant vs. rachael ostovich
93,dustin ortiz vs. joseph benavidez
93,gregor gillespie vs. yancy medeiros
93,allen crowder vs. greg hardy
93,henry cejudo vs. t.j. dillashaw
94,livia renata souza vs. sarah frota
94,johnny walker vs. justin ledet
94,charles oliveira vs. david teymur
94,josé aldo vs. renato moicano
94,demian maia vs. lyman good
94,marlon maroes vs. raphael assunção
95,jim crute vs. sam alvey
95,montana de la rosa vs. nadia kassem
95,rani yahya vs. ricky simon
95,lando vannata vs. marcos rosa mariano
95,anderson silva vs. israel adesanya
96,andre fili vs. myles jury
96,bryan barberena vs. vicente luque
96,alex caceres vs. kron gracie
96,cortney casey vs. cynthia calvillo
96,james vick vs. paul felder
96,cain velasquez vs. francis ngannou
97,kildson farias de abreu vs. magomed ankalaev
97,john dodson vs. petr yan
97,liz carmouche vs. lucie pudilová
97,glan villante vs. michal oleksiejczuk
97,marcos rogério de lima vs. stefan struve
97,jan błachowicz vs. thiago santos
98,omari akhmedov vs. tim boetsch
98,beneil dariush vs. drew dober
98,ben rothwell vs. blagoy ivanov
98,niko price vs. tim means
98,curtis millender vs. elizeu zaleski dos santos
98,derrick lewis vs. junior dos santos
99,jack marshman vs. john phillips
99,cláudio silva vs. danny roberts
99,josé alberto quiñónez vs. nathaniel wood
99,dominick reyes vs. volkan oezdemir
99,gunnar nelson vs. leon edwards
99,darren till vs. jorge masvidal
100,jj aldrich vs. maycee barber
100,luis pena vs. steven peterson
100,dieveson figueiredo vs. jussier formiga
100,jesus pinedo vs. john makdessi
100,curtis blaydes vs. justin willis
100,anthony pettis vs. stephen thompson
101,sheymon moraes vs. sodiq yusuff
101,kennedy nzechukwu vs. paul craig
101,karolina kowalkiewicz vs. michelle waterson
101,josh emmett vs. michael johnson
101,david branch vs. jack hermansson
101,edson barboza vs. justin gaethje
102,nikita krylov vs. ovince saint preux
102,alan jouban vs. dwight grant
102,eryk anders vs. khalil rountree
102,israel adesanya vs. kelvin gastelum
102,dustin poirier vs. max holloway
103,alen amedovski vs. krzysztof jotko
103,antonia shevchenko vs. roxanne modafferi
103,marcelo golm vs. sergei pavlovich
103,arman tsarukyan vs. islam makhachev
103,aleksei oleinik vs. alistair overeem
104,roosevelt roberts vs. thomas gifford
104,cory sandhagen vs. john lineker
104,glover teixeira vs. ion cutelaba
104,alex oliveira vs. mike perry
104,dmitri smoliakov vs. greg hardy
104,jack hermansson vs. ronaldo souza
105,andrew sanchez vs. marc-andre barriault
105,serghei spivac vs. walt harris
105,brad katona vs. merab dvalishvili
105,cub swanson vs. shane burgos
105,derek brunson vs. elias theodorou
105,al iaquinta vs. donald cerrone
106,antonio rogerio nogueira vs. ryan spann
106,diego ferreira vs. francisco trinaldo
106,laureano staropoli vs. thiago alves
106,alexander volkanovski vs. jose aldo
106,anderson silva vs. jared cannonier
106,jessica andrade vs. rose namajunas
107,austin hubbard vs. davi ramos
107,charles oliveira vs. nik lentz
107,derrick krantz vs. vicente luque
107,felicia spencer vs. megan anderson
107,antonio carlos junior vs. ian heinisch
107,kevin lee vs. rafael dos anjos
108,daniel teymur vs. sung bin jo
108,christos giagos vs. damir hadzovic
108,chris fishgold vs. makwan amirkhani
108,aleksandar rakic vs. jimi manuwa
108,ilir latifi vs. volkan oezdemir
108,alexander gustafsson vs. anthony smith
109,blagoy ivanov vs. tai tuivasa
109,jimmie rivera vs. petr yan
109,donald cerrone vs. tony ferguson
109,jessica eye vs. valentina shevchenko
109,henry cejudo vs. marlon moraes
110,ashley yoder vs. syuri kondo
110,alessio di chirico vs. kevin holland
110,andrea lee vs. montana de la rosa
110,john lineker vs. rob font
110,bryan barberena vs. randy brown
110,chan sung jung vs. renato moicano
111,alonzo menifield vs. paul craig
111,drew dober vs. marco polo reyes
111,roosevelt roberts vs. vinc pichel
111,anthony rocco martin vs. demian maia
111,joseph benavidez vs. jussier formiga
111,francis ngannou vs. junior dos santos
112,diego sanchez vs. michael chiesa
112,jan blachowicz vs. luke rockhold
112,ben askren vs. jorge masvidal
112,amanda nunes vs. holly holm
112,jon jones vs. thiago santos
113,cezar ferreira vs. marvin vettori
113,karl roberson vs. wellington turman
113,josh emmett vs. mirsad bektic
113,ricky simon vs. urijah faber
113,aspen ladd vs. germaine de randamie
114,andrei arlovski vs. ben rothwell
114,alexander hernandez vs. francisco trinaldo
114,dan hooker vs. james vick
114,greg hardy vs. juan adams
114,aleksei oleinik vs. walt harris
114,leon edwards vs. rafael dos anjos
115,krzysztof jotko vs. marc-andré barriault
115,arman tsarukyan vs. olivier aubin-mercier
115,geoff neal vs. niko price
115,cris cyborg vs. felicia spencer
115,frankie edgar vs. max holloway
116,darko stošić vs. kennedy nzechukwu
116,dong hyun ma vs. scott holtzman
116,gerald meerschaert vs. trevin giles
116,joaquim silva vs. nasrat haqparast
116,clay guida vs. jim miller
116,colby covington vs. robbie lawler
117,polyana viana vs. veronica macedo
117,alex da silva coelho vs. rodrigo vargas
117,chris gutierrez vs. geraldo de freitas jr.
117,raulian paiva vs. rogerio bontorin
117,marina rodriguez vs. tecia torres
117,ciryl gane vs. raphael pessoa
117,alexey kunchenko vs. gibert burns
118,derek brunson vs. ian heinisch
118,gabriel benitez vs. sodiq yusuff
118,paulo costa vs. yoel romero
118,anthony pettis vs. nate diaz
118,daniel cormier vs. stipe miocic 2
119,mizuki inoue vs. yanan wu
119,mosvar evloev vs. zhenhong lv
119,kai kara-france vs. mark de la rosa
119,elizeu zaleski dos santos vs. li jingliang
119,jessica andrade vs. weili zhang
120,carlos diego ferreira vs. mairbek taisumov
120,curtis blaydes vs. shamil abdurakhimov
120,davi ramos vs. islam makhachev
120,edson barboza vs. paul felder
120,dustin poirier vs. khabib nurmagomedov
121,jim crute vs. misha cirkunov
121,antônio carlos júnior vs. uriah hall
121,michel pereira vs. tristan connelly
